target,selector,attr,es,cat,en,
ayuda,#modelo3d-p,,¿Ya tienes las fotos? Aquí tienes un tutorial sobre cómo modelar tu objeto a partir de las fotografías tomadas anteriormente. Asegúrate de haber tomado las medidas necesarias y haber realizado el proceso de fotogrametría correctamente. ,Ja tens unes bones fotografies? Aquí tens un tutorial sobre com modelar l'objecte a partir de les fotografies preses anteriorment. Assegura't d'haver pres les mesures necessàries i haver realitzat el procés de fotogrametria correctament.,"Once you have the photos, you can build a 3D model from them. Here's a tutorial on how to model your object from previously taken pictures. Make sure you have taken the necessary steps and completed the photogrammetry process correctly.",
ayuda,#tab-content3,,"<h4>Sobre el proyecto</h4>
                            <div class=""info-panel"">
                                        <p class=""kawaii"">Usa los cuadro de texto para actualizar la información sobre el proyecto.</p>
                                        <p class=""kawaii"">El mapa indica la posición real de tu modelo 3D. Puedes modificar las coordenadas siempre que quieras.</p>
                            <p class=""kawaii"">Pulsa sobre cada fondo de escena para usarlo como ambiente. Puedes quitarlo pulsando el botón situado justo debajo</p>
                            </div>

                            <h4>Herramientas</h4>

                            <h6>Guardar estado del proyecto</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">save</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Utiliza esta herramienta para guardar todos los cambios aplicados al proyecto.</p> 
                                <p class=""kawaii error"">Si no se usa al acabar, tendrás que volver a realizar todos los cambios.</p>
                                <p class=""kawaii"">Si quieres olvidarte de guardar, asegúrate de permitir el auto-guardado al empezar.</p> 
                            </div><br>

                            <h6>Establecer rotaciones por defecto</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">3d_rotation</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Usa las barras que aparecerán justo abajo para rotar el objeto 3D a tu gusto. Puedes hacerlo guiándote por los ejes cardinales o por cualquier otra base.</p>
                                <p class=""kawaii"">Prueba a pulsar las teclas A, S, D de tu teclado mientras rotas el objeto. Cada tecla corresponde a un eje diferente.</p>
                                <p class=""kawaii"">Realizando esto, no tendrás que volver a rotar la cámara buscando la posición idónea de tu modelo.</p>
                            </div> <br>   

                               

                            <h6>Configurar la escala</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">tune</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">En PaisArque no sabemos cómo de grande es tu modelo. Por ello necesitamos alguna información relacionada con la escala.</p>
                                <p class=""kawaii"">Selecciona en el modelo 3D una distancia mencionando cuánto mide en la realidad.</p>
                                <p class=""kawaii"">De esa manera sabremos la escala de tu modelo. Puede elegir cualquier distancia como base.</p>
                                <p class=""kawaii error"">Si no existe esta configuración, cualquier medición estará deshabilitada.</p>
                            </div><br>

                            <h6>Distancias y áreas</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">linear_scale</i>
                            </a>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">photo_size_select_small</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">El registro de medidas muestra todas las distancias y áreas calculadas. Puedes añadir más usando el menú de la sección.</p>
                                <p class=""kawaii"">Haz clic en ""Añadir"" y mira el panel en la parte inferior, este te ayudará a realizar cada medida. Dispones de dos opciones, añadir puntos o mover la cámara.</p>
                                <p class=""kawaii"">El primer punto de cada área determinará la posición del plano donde se colocarán los puntos.</p>
                                <p class=""kawaii error"">Recuerda cerrar el área siempre con el punto inicial.</p>
                                <p class=""kawaii"">Cuando estés listo, pulsa finalizar para guardar la medida en la tabla correspondiente. Puedes eliminar medidas y observarlas con las opciones de la tabla.</p>
                            </div><br>

                            <h6>Exportar escena</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">photo_camera</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Dispones de varias opciones para exportar tu escena. Grabarla en vídeo o gif, o tomar una captura como imagen.</p>
                                <p class=""kawaii"">Podrás guardar la foto en tu ordenador para usarla en cualquier otro momento o añadirla al proyecto en el que estás para poder verla en aportaciones.</p>
                                <p class=""kawaii"">Si decides realizar una grabación, dispones de varias opciones de exportación como el formato o la calidad.</p>
                            </div> <br>   



                            <h4>Anotaciones</h4>

                            <h6>Crear y eliminar</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">create</i>
                            </a>                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">delete</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Estando en modo anotación podrás hacer clic en la escena para añadir un anotación.</p>
                                <p class=""kawaii"">Dale una descripción y listo.</p>
                            <p class=""kawaii"">Una sola anotación puede borrarse si se arrastra a la papelera desde la tabla.</p>
                                <p class=""kawaii"">En caso de querer borrarlas todas, pulsa el botón que verás al lado de la papelera.</p></div><br>

                            <h6>Visualizar</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">visibility_off</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Todas las anotaciones creadas aparecerán en la tabla que podrás ver debajo de los botones. Para ver cada anotación en el modelo 3D, tócala en la tabla.</p>
                                <p class=""kawaii"">La cámara cambiará para representar la anotación que se haya tocado y esta parpadeará para destacarse entre el resto.</p>
                                <p class=""kawaii"">Puedes ocultar todas las anotaciones con el botón Mostrar</p>
                            </div> <br>

                            <div class=""info-panel"">
                                <p class=""kawaii"">Para más soporte, descarga la <a href=""data/doc.pdf"" download=""documentation.pdf"">guía completa</a> de la aplicación.</p>
                            </div>"," <h4>Sobre el projecte</h4>
                            <div class=""info-panel"">
                                        <p class=""kawaii"">Utilitza els quadres de text para actualitzar la informació sobre el projecte.</p>
                                        <p class=""kawaii"">El mapa indica la posició real del teu model 3D.</p>
<p class=""kawaii"">Pots modificar les coordenades sempre que calgui.</p>
                            <p class=""kawaii"">Fes clic a cada fondo d’escena para utilitzar-lo como ambient. Pots treure’l fent clic al botó situat just avall.</p>
                            </div>

                            <h4>Eines</h4>

                            <h6>Desar estat del projecte</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">save</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Utilitza aquesta eina per desar tots els canvis aplicats al projecte.</p> 
                                <p class=""kawaii error"">De no desar, hauràs de tornar a fer tot el treball!</p>
                                <p class=""kawaii"">Si vols oblidar-te’n de desar, pots activar l’opció d’auto-desar abans de començar.</p> 
                            </div><br>

                            <h6>Establir rotacions por defecte</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">3d_rotation</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Utilitza les guies de la part inferior per rotar el model al teu gust. Pots basar-te en els eixos cardinals o en qualsevol altre base.</p>
                                <p class=""kawaii"">També el pots rotar amb les tecles A, S, D per guanyar més precisió. </p>
                                <p class=""kawaii"">Fent aquesta configuració, no hauràs de tornar a rotar el model mai més!</p>
                            </div> <br>   

                               

                            <h6>Configurar l’escala</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">tune</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">A PaisArque no sabem com de gran és el teu model. Per això necessitem alguna informació relacionada amb l'escala.</p>
                                <p class=""kawaii"">Marca al model 3D una distància seleccionant quant mesura en realitat.</p>
                                <p class=""kawaii"">D'aquesta manera sabrem l'escala del teu model. Podeu triar qualsevol distància com a base.</p>
                                <p class=""kawaii error"">Si no hi ha aquesta configuració, qualsevol mesurament romandrà desactivat.</p>
                            </div><br>

                            <h6>Distancies y àrees</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">linear_scale</i>
                            </a>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">photo_size_select_small</i>
                            </a>
                            <div class=""info-panel"">
                                <p class = ""kawaii""> El registre de mesures mostra totes les distàncies i àrees calculades. Pots afegir més usant el menú de la secció. </p>
                                 <p class = ""kawaii""> Fes clic a ""Afegeix"" i mira el panell a la part inferior, aquest t'ajudarà a realitzar cada mesura. Disposes de dues opcions, afegir punts o moure la càmera. </p>
                                 <p class = ""kawaii""> El primer punt de cada àrea determinarà la posició del pla on es col·locaran els punts. </p>
                                 <p class = ""kawaii error""> Recorda tancar l'àrea sempre amb el punt inicial. </p>
                                 <p class = ""kawaii""> Quan estiguis llest, prem finalitzar per guardar la mesura en la taula corresponent. Pots eliminar mesures i observar-les amb les opcions de la taula. </p>

                            </div><br>

                            <h6>Exportar escena</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">photo_camera</i>
                            </a>
                            <div class=""info-panel"">
                                <p class = ""kawaii""> Disposes de diverses opcions per exportar la teva escena. Gravar-la en vídeo o gif, o prendre una captura com imatge. </p>
                                 <p class = ""kawaii""> Podràs guardar-les al teu ordinador per utilitzar-la en qualsevol altre moment o afegir-la al projecte actual per veure-la en aportacions. </p>
                                 <p class = ""kawaii""> Si decideixes fer un vídeo, disposes de diverses opcions d'exportació com el format o la qualitat. </p>

                            </div> <br>   



                            <h4>Anotacions</h4>

                            <h6>Crear i eliminar</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">create</i>
                            </a>
     <a class=""btn tool-btn info"">
                                <i class=""material-icons"">delete</i>
                            </a>

                            <div class=""info-panel"">
                                <p class = ""kawaii""> Estant en mode anotació podràs fer clic a l'escena per afegir un anotació. </p>
                                 <p class = ""kawaii""> Dóna-li una descripció i llest. </p>
<p class = ""kawaii""> Una sola anotació pot esborrar-se si s'arrossega a la paperera des de la taula. </p>
                                 <p class = ""kawaii""> En cas de voler esborrar-les totes, prem el botó que veuràs al costat de la paperera. </p>

                            </div><br>

                            <h6>Visualitzar</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">visibility_off</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Totes les anotacions creades apareixeran a la taula que podràs veure sota dels botons. Per veure cada anotació en el model 3D, fes clic a la taula.</p>
                                <p class=""kawaii"">La càmera canviarà per representar l'anotació que s'hagi tocat i aquesta es destaca entre la resta.</p>
                                <p class=""kawaii"">Pots amagar totes les anotacions amb el botó Mostra</p>
                            </div> <br>

                            <div class=""info-panel"">
                                <p class=""kawaii"">Per més suport, descarrega la <a href=""data/doc.pdf"" download=""documentation.pdf"">guia completa</a> de l’aplicació.</p>
                            </div>

"," <h4>About the project</h4>
                            <div class=""info-panel"">
                                        <p class=""kawaii"">Use text fields to update your project’s information.</p>
                                        <p class=""kawaii"">The above map shows the real location of your 3D model. Coordinates can be modified as many times as you want.</p>
                            <p class=""kawaii"">This application has default scene backgrounds you can use.</p>
                            </div>

                            <h4>Tools</h4>

                            <h6>Saving project state</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">save</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Use this tool to save all changes applied to the project.</p> 
                                <p class=""kawaii error"">No saving could be a big problem.</p>
                                <p class=""kawaii"">If you want to forget saving, it’s possible to enable auto-saving before starting.</p> 
                            </div><br>

                            <h6>Set rotations by default</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">3d_rotation</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">Use the sliders below to rotate the 3D model as you consider.</p>
                                <p class=""kawaii"">Using A, S, D keys on your keyboard could help you giving more precision. It’s up to you.</p>
                                <p class=""kawaii"">Setting this, it will be the last time you think about the rotations.</p>
                            </div> <br>   


                            <h6>Setting scale</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">tune</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">At PaisArque we do not know how big is your 3D model, so you have to give us a kind of scaling factor.</p>
                                <p class=""kawaii"">Select a distance in the 3D area at specify how big it is in meters.</p>
                                <p class=""kawaii"">At this way, we can extract a factor that can relate the distances in real life with PaisArque ones.</p>
                                <p class=""kawaii error"">Without this configuration, all measurements are disabled.</p>
                            </div><br>

                            <h6>Distances & areas</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">linear_scale</i>
                            </a>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">photo_size_select_small</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">The measurement log shows all distances and calculated areas. You can add more using the section menu.</p>
                                <p class=""kawaii"">Click on ""Add"" and look at the panel at the bottom, this will help you to create each measurement. You have two options, add points or move the camera.</p>
                                <p class=""kawaii"">The first point of each area will determine the position of the plane where the points will be located at.</p>
                                <p class=""kawaii error"">Always close the area with the starting point.</p>
                                <p class=""kawaii"">When ready to go, press finish to save the measurement in the corresponding table. You can delete measurements and observe them with the options in the table.</p>
                            </div><br>

                            <h6>Export scene</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">photo_camera</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">You have several options to export your scene. Record it in video or gif, or take a capture as an image.</p>
                                <p class=""kawaii"">You can save the photo into your computer or add it to the project you are working on, in order to have it in contributions tab.</p>
                                <p class=""kawaii"">If your decision is to make a recording, you have several export options such as formatting or quality.</p>
                            </div> <br>   




                            <h4>Annotations</h4>

                            <h6>Create and remove</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">create</i>
                            </a><a class=""btn tool-btn info"">
                                <i class=""material-icons"">delete</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">While in annotation mode you can click on the scene to add an annotation.</p>
                                <p class=""kawaii"">Give it a description and done.</p>
                                <p class=""kawaii"">A single annotation can be deleted if it is dragged to the trash from the table.</p>
                                <p class=""kawaii"">In case you want to erase all of them, press the button that you will see next to the trash.</p></div><br>

                            <h6>Visualize</h6>
                            <a class=""btn tool-btn info"">
                                <i class=""material-icons"">visibility_off</i>
                            </a>
                            <div class=""info-panel"">
                                <p class=""kawaii"">All annotations created will appear in the table below buttoning section. To see each annotation in the 3D model, touch it in the table.</p>
                                <p class=""kawaii"">The camera will change to represent the annotation that has been touched and it will blink to stand out from the rest.</p>
                                <p class=""kawaii"">You can hide all annotations with the Show button</p>
                            </div> <br>

                            <div class=""info-panel"">
                                <p class=""kawaii"">For more support, download the <a href=""data/doc.pdf"" download=""documentation.pdf"">full guide</a> of the application.</p>
                            </div>

", 
modelo,.help-nav,,SOPORTE,SUPORT,SUPPORT,
modelo,.extra-nav,,APORTACIONES,APORTACIONS,CONTRIBUTIONS,
modelo,.export-nav,,EXPORTAR,EXPORTAR,EXPORT,
modelo,#label-proyecto-tab,,Proyecto,Projecte,Draft,
modelo,#label-tools-tab,,Herramientas,Eines,Tools,
modelo,#label-anot-tab,,Anotaciones,Anotacions,Annotations,
modelo,#apply-rotation-btn,,Aplicar,Aplica,Apply,
modelo,.table-th-description,,Descripción,Descripció,Description,
modelo,.table-th-view,,Vista,Vista,View,
modelo,#exampleModalLabel,,Anotación,Anotació,Annotation,
modelo,#label-deleteall-anot,,Todo,Tot,All,
modelo,#drag-cont,,Arrastra aquí para eliminar anotación,Arrossega aquí per eliminar anotació,Drag here to remove annotation,
